Project,DOI,Title,Year,Relation,Proposal
Discar,,The kinship matrix: inferring the kinship structure of a population from its demography,2021,Top5,
Discar,,How many cubs can a mum nurse? Maternal age and size influence litter size in polar bears,2019,Top5,
Discar,,Mapping and explaining wolf recolonization in France using dynamic occupancy models and opportunistic data,2018,Top5,
Discar,10.3389/fevo.2022.981842,Stabilizing effects of group formation by Serengeti herbivores on predator-prey dynamics,2022,Top5,
Discar,10.1111/jzo.12944,"Where and when does the danger lie? Assessing how location, season and time of day affect the sequential stages of predation by lions in western Serengeti National Park",2021,Top5,
Discar,,Mapping out a future for ungulate migrations,2021,Top5,
Discar,10.1002/jwmg.21829,Anthropogenic disturbance and population viability of woodland caribou in Ontario,2020,Top5,
Discar,,Moving in the Anthropocene: Global reductions in terrestrial mammalian movements,2018,Top5,
Discar,,Key questions in marine mammal bioenergetics,2022,Top5,
Discar,,"State-dependent behavioral and life history models predict the population consequences of acoustic disturbance, with application to endangered western gray whales",2021,Top5,
Discar,,Practical application of a bioenergetic model to inform management of a declining fur seal population and their commercially important prey,2020,Top5,
Discar,,Anthropogenic disturbance in a changing environment: modelling lifetime reproductive success to predict the consequences of multiple stressors on a migratory population,2019,Top5,
Discar,,A state-dependent model for assessing the population consequences of disturbance on income-breeding mammals,2018,Top5,
Discar,,Life history mediates the trade-offs among different components of demographic resilience,2022,Top5,
Discar,,The myriad of complex demographic responses of terrestrial mammals to climate change and gaps of knowledge,2021,Top5,
Discar,,Perennial plants with short generation time have stronger responses to climate anomalies than those with longer generation time,2021,Top5,
Discar,,Animal life history is shaped by the pace of life and the distribution of age-specific mortality and reproduction,2019,Top5,
Discar,,Interactive life-history traits predict sensitivity of plants and animals to temporal autocorrelation,2018,Top5,
Discar,,"Delivering the promises of trait-based approaches to the needs of demographic approaches, and vice versa",2018,Top5,
Discar,10.1051/parasite/2021073,"Soil contamination by Echinococcus multilocularis in rural and urban vegetable gardens in relation to fox, cat and dog faecal deposits",2021,Top5,
Discar,,Identifying drivers of fox and cat faecal deposits in kitchen gardens into order to evaluate measures for reducing contamination of fresh fruit and vegetables,2019,Top5,
Discar,,Pattern of latrine use by domestic cats on dairy farms and the implications for Toxoplasma gondi,2019,Top5,
Discar,10.1038/s41598-018-34430-7,Evaluating metabarcoding to analyse diet composition of species foraging in anthropogenic landscapes using Ion Torrent and Illumina sequencing,2018,Top5,
Discar,,A multi-event capture–recapture analysis of Toxoplasma gondii seroconversion dynamics in farm cats,2018,Top5,
Discar,10.1111/ele.70198,Understanding and Predicting Population Response to Anthropogenic Disturbance: Current Approaches and Novel Opportunities,2025,Output,
Discar,10.1007/s10980-025-02282-y,Accounting for spatial heterogeneity in trapping pressure and its impact on population dynamics of sympatric pine and stone martens,2025,Output,
Discar,10.1002/aqc.70013,Spatial Occupancy Models for Data Collected on Stream Networks,2024,Output,
Discar,10.1111/2041-210X.14418,Bringing circuit theory into spatial occupancy models to assess landscape connectivity,2024,Output,
Discar,10.5852/naturae2025a12,"Étude du retour de la Loutre d’Europe Lutra lutra (Linnaeus, 1758) sur le fleuve Lez (fleuve côtier, Hérault, France) grâce aux méthodes non-invasives de suivi des populations et une collaboration étroite entre structures académiques et territoriales",2025,Output,
Discar,10.1016/j.biocon.2025.111179,Range expansion and reconnection of historical populations in the Eurasian otter (Lutra lutra) in France: Insights from heterogeneous data and integrated species distribution,2025,Output,
Discar,10.24072/pcjournal.543/,Modelling Eurasian lynx populations in Western Europe: What prospects for the next 50 years?,2025,Output
