Project,DOI,Title,Year,Relation
Ebenn,,"Risks, benefits, and knowledge gaps of non-native tree species in Europe.",2022,Proposal
Ebenn,,Introducing tree species in forests and the implications for biodiversity. Introduced tree species in European forests: opportunities and challenges,2016,Proposal
Ebenn,,Introduced tree species in central Europe–consequences for arthropod communities and species interactions. Introduced tree species in European forests: opportunities and challenges,2016,Proposal
Ebenn,,The role of exotic tree species in Nordic forestry,2014,Proposal
Ebenn,,"Impact of Sitka spruce on biodiversity in NW Europe with a special focus on Norway–evidence, perceptions and regulations.",2020,Proposal
Ebenn,,Growing non-native trees in European forests brings benefits and opportunities but also has its risks and limits.,2020,Proposal
Ebenn,,Ecological consequences of Douglas fir (Pseudotsuga menziesii) cultivation in Europe,2014,Proposal
Ebenn,,Ecological impacts of non-native tree species plantations are broad and heterogeneous: a review of Brazilian research,2016,Proposal
Ebenn,,Impact of non-native tree species in Europe on soil properties and biodiversity: a review.,2022,Proposal
Ebenn,,Statistical methods for meta-analysis,1985,Proposal
Ebenn,10.1186/s13750-023-00298-y,What are the toxicity thresholds of chemical pollutants for tropical reef-building corals? A systematic review,2023,Top5
Ebenn,10.1371/journal.pone.0279718,A flashing light may not be that flashy: A systematic review on critical fusion frequencies,2022,Top5
Ebenn,10.1186/s13750-022-00291-x,What evidence exists regarding the effects of photovoltaic panels on biodiversity? A critical systematic map protocol,2022,Top5
Ebenn,10.1016/j.ecolind.2022.109216,Assessing and forecasting the effects of submersion on biodiversity. A method to implement an ecological-quality indicator in a context of coastal realignment and rising sea levels,2022,Top5
Ebenn,10.3897/BDJ.10.e71222,The nationwide 'ZNIEFF' inventory in France: an open dataset of more than one million species data in zones of high ecological value,2022,Top5
Tres-Pratic,10.1016/j.tree.2012.10.004,A functional approach reveals community responses to disturbances,2013,Proposal
Tres-Pratic,"10.5194/egusphere-2022-115, 2022","Semantics about soil organic carbon storage: DATA4C+, a comprehensive thesaurus and classification of management practices in agriculture and forestry",2022,Proposal
Tres-Pratic,10.1007/s13593-013-0151-z,Pesticides and earthworms. A review,2014,Proposal
Tres-Pratic,10.1016/j.baae.2020.09.006,"Arthropod functional traits shaped by landscape-scale field size, local agri-environment schemes and edge effects",2022,Proposal
Tres-Pratic,10.1007/s11104-019-04322-4,How agroforestry systems influence soil fauna and their functions - a review,2019,Proposal
Tres-Pratic,10.1111/cobi.12541,Making literature reviews more reliable through application of lessons from systematic reviews,2015,Proposal
Tres-Pratic,10.1016/j.pedobi.2022.150789,Communities of Collembola show functional resilience in a long-term field experiment simulating climate change,2022,Top5
Tres-Pratic,10.1016/j.geoderma.2022.116073,A common framework for developing robust soil fauna classifications,2022,Top5
Tres-Pratic,10.1111/1365-2435.13194,Intraspecific body size variability in soil organisms at a European scale: Implications for functional biogeography,2018,Top5
Tres-Pratic,10.1016/j.apsoil.2022.104692,Ecomorphosis in European Collembola: A review in the context of trait-based ecology,2023,Top5
Tres-Pratic,10.1101/2024.04.19.590051 ,Global review of meta-analyses reveals key data gaps in agricultural impact studies on biodiversity in croplands,2024,Top5
Solaire-PB,10.1186/s13750-021-00236-w,Existing evidence on the outcomes of wildlife translocations in protected areas: a systematic map,2021,Top5
Solaire-PB,10.1186/s13750-021-00237-9,Evidence on the impacts of chemicals arising from human activity on tropical reef-building corals; a systematic map,2021,Top5
Solaire-PB,10.1186/s13750-020-00202-y,Evidence of the impact of noise pollution on biodiversity: a systematic map,2020,Top5
Solaire-PB,10.1186/s13750-020-00203-x,What evidence exists on the impacts of chemicals arising from human activity on tropical reef-building corals? A systematic map protocol.,2020,Top5
Solaire-PB,10.1186/s13750-020-00199-4,Outcomes of wildlife translocations in protected areas: what is the type and extent of existing evidence? A systematic map protocol,2020,Top5
Solaire-PB,10.1186/s13750-020-00196-7,Can linear transportation infrastructure verges constitute a habitat and/or a corridor for vertebrates in temperate ecosystems? A systematic review.,2020,Top5
Solaire-PB,,Les protocoles expérimentaux en écologie. Principaux points clefs,2019,Top5
Solaire-PB,10.1186/s13750-019-0146-6,Evidence of the environmental impact of noise pollution on biodiversity: a systematic map protocol.,2019,Top5
Solaire-PB,10.1186/s13750-018-0117-3,Can linear transportation infrastructure verges constitute a habitat and/or a corridor for insects in temperate landscapes? A systematic review,2018,Top5
Solaire-PB,,Conseils méthodologiques pour la réalisation d'une revue systématique à travers l'expérience de COHNECS-IT,2017,Top5
Solaire-PB,10.1186/s13750-016-0056-9,Can linear transportation infrastructure verges constitute a habitat and/or a corridor for biodiversity in temperate landscapes? A systematic review protocol,2016,Top5
Solaire-PB,10.1007/s10841-019-00191-5,How to disguise evolutionary traps created by solar panels,2020,Proposal
Solaire-PB,10.1038/s41598-021-86756-4,"Partial shading by solar panels delays bloom, increases floral abundance during the late-season for pollinators in a dryland, agrivoltaic ecosystem",2021,Proposal
Solaire-PB,10.3390/plants9091125,Simulated Photovoltaic Solar Panels Alter the Seed Bank Survival of Two Desert Annual Plant Specie,2020,Proposal
Solaire-PB,10.1016/j.jhydrol.2018.11.019,Evaluating the shading effect of photovoltaic panels on green roof discharge reduction and plant growth,2019,Proposal
Solaire-PB,10.15835/nbha46110846,Growth and Physiological Characteristics of Lettuce (Lactuca sativa L.) and Rocket (Eruca sativa Mill.) Plants Cultivated under Photovoltaic Panels.,2018,Proposal
Solaire-PB,10.1002/ldr.3408,Solar photovoltaic panels significantly promote vegetation recovery by modifying the soil surface microhabitats in arid sandy ecosystem,2019,Proposal
Solaire-PB,10.1016/j.jenvman.2018.08.017,Green roof and photovoltaic panel integration: Effects on plant and arthropod diversity and electricity production,2018,Proposal
Solaire-PB,10.1007/s10841-016-9897-3,Polarized light pollution of matte solar panels: anti-reflective photovoltaics reduce polarized light pollution but benefit only some aquatic insects.,2016,Proposal
Solaire-PB,10.1111/1751-7915.13620,Extremophilic microbial communities on photovoltaic panel surfaces: a two-year study,2020,Proposal
Solaire-PB,10.1002/eap.2349,Microhabitats associated with solar energy development alter demography of two desert annuals,2021,Proposal
Solaire-PB,10.1002/ecs2.3089,Simulated solar panels create altered microhabitats in desert landforms,2020,Proposal
Solaire-PB,10.1016/j.scitotenv.2021.149946,Ecohydrological effects of photovoltaic solar farms on soil microclimates and moisture regimes in arid Northwest China: A modeling study,2022,Proposal
Solaire-PB,10.1186/s13750-022-00291-x,What evidence exists regarding the effects of photovoltaic panels on biodiversity? A critical systematic map protocol,2022,Output
Solaire-PB,10.1186/s13750-023-00318-x,Existing evidence on the effects of photovoltaic panels on biodiversity: a systematic map with critical appraisal of study validity,2023,Output
