Project,DOI,Title,Year,Relation
Interface,,Does habitat unpredictability promote the evolution of a colonizer syndrome in amphibian metapopulations?,2016,Top5
Interface,,Next-generation monitoring of aquatic biodiversity based on environmental DNA metabarcoding,2016,Top5
Interface,,Connectivity of local amphibian populations: modeling the migratory capacity of radio-tracked natterjack toads,2012,Top5
Interface,10.1016/j.biocon.2023.110418,From single to multiple habitat connectivity: The key role of composite ecological networks for amphibian conservation and habitat restoration,2024,Output
Interface,10.1016/j.landurbplan.2024.105016,Turquoise infrastructure: Assessing the impacts of global change on multi-habitat connectivity from a landscape management perspective,2024,Output
Interface,10.20870/Revue-SET.2023.43.7642,"Analyser la connectivité de la trame turquoise: définition, caractérisation et enjeux opérationnels",2023,Output
Interface,10.1007/s10980-024-01947-4,Multiple habitat graphs: how connectivity brings forth landscape ecological processes,2024,Output
Landbio,,"Mapping potential, Existing and Efficient Wetlands using free remote sensing data",2019,Top5
Landbio,,Tackling climate change impacts on biodiversity towards integrative conservation in Atlantic landscapes,2022,Top5
Landbio,,Investigating the effect of habitat amount and landscape heterogeneity on the gamma functional diversity of grassland and hedgerow plants,2022,Top5
Landbio,10.1016/j.agee.2023.108650,Landscape structure influences grassland productivity through plant functional diversity,2023,Top5
Landbio,,Landscape context but not management strategies affects the diversity of native and exotic semi-natural vegetation in Mediterranean agroecosystems of Central Chile,2021,Proposal
Landbio,,"Validation of copernicus sentinel-2 cloud masks obtained from maja, sen2cor, and fmask processors using reference cloud masks generated with a supervised active learning procedure",2019,Proposal
Landbio,,La mise en place de nos bocages en Europe et leur déclin,1994,Proposal
Landbio,,Heterogeneity–diversity relationships in sessile organisms: a unified framework,2020,Proposal
Landbio,,Guidelines for the use of acoustic indices in environmental research,2019,Proposal
Landbio,,Comparative biodiversity along a gradient of agricultural landscapes,1998,Proposal
Landbio,,"Social, aesthetic and ecological aspects of hedgerows in rural landscapes as a framework for greenways",1995,Proposal
Landbio,,Extinction debt for plants and flower-visiting insects in landscapes with contrasting land use history,2014,Proposal
Landbio,,The role of landscape composition and heterogeneity on the taxonomical and functional diversity of Mediterranean plant communities in agricultural landscapes,2020,Proposal
Landbio,,Functional landscape heterogeneity and animal biodiversity in agricultural landscapes: Heterogeneity and biodiversity,2011,Proposal
Landbio,,Combining narratives and modelling approaches to simulate fine scale and long-term urban growth scenarios for climate adaptation,2016,Proposal
Landbio,,Monitoring and modelling landscape dynamics,2010,Proposal
Landbio,,Past Landscape Structure Drives the Functional Assemblages of Plants and Birds,2021,Proposal
Landbio,,Land-use history impacts functional diversity across multiple trophic groups,2020,Proposal
Landbio,,Historical landscape connectivity affects present plant species diversity,2004,Proposal
Landbio,,Temporal Lag in Ecological Responses to Landscape Change: Where Are We Now?,2019,Proposal
Landbio,,The interplay of landscape composition and configuration: new pathways to manage functional biodiversity and agroecosystem services across Europe,2019,Proposal
Landbio,,Time-lag in biological responses to landscape changes in a highly dynamic Atlantic forest region,2009,Proposal
Landbio,,Colonization credit of post-agricultural forest patches in NE Germany remains 130–230 years after reforestation,2015,Proposal
Landbio,,"Effects of landscape dynamics on the metapopulation of a ground beetle (Coleoptera, Carabidae) in a hedgerow network",1998,Proposal
Landbio,,Effects of increasing landscape heterogeneity on local plant species richness: How much is enough?,2014,Proposal
Landbio,,Interacting effects of farming practice and landscape context on bumble bees,2008,Proposal
Landbio,,Evidence for a direct negative effect of habitat fragmentation on forest herb functional diversity,2014,Proposal
Landbio,,Ecoacoustics: The Ecological Investigation and Interpretation of Environmental Sound,2015,Proposal
Landbio,,"Long-duration, false-colour spectrograms for detecting species in large audio data-sets",2018,Proposal
Landbio,,Landscape moderation of biodiversity patterns and processes - eight hypotheses,2012,Proposal
Landbio,,Trait-specific effects of habitat isolation on carabid species richness and community composition in managed grasslands: Effects of habitat isolation on carabid beetles,2012,Proposal
Landbio,,Non linear thresholds in the effects of island area on functional diversity in woody plant communities,2021,Proposal
Landbio,,How to assess the temporal dynamics of landscape connectivity in ever-changing landscapes : a litterature review,2021,Top5
Landbio,,Past landscape structure drives the functional assemblages of plants and birds,2021,Top5
Landbio,,Satellite multispectral unmixing with UAV data for a fuzzy classification of plant communities of wet grasslands - Application to the regional preserve of the Sougeal marsh (France),2020,Top5
Landbio,,"Mapping potential, Existing and Efficient Wetlands using free remote sensing data",2019,Top5
Landbio,,Additive effects of ecological corridor types drive plant assembly,2019,Top5
Pppirec,10.24072/pcjournal.472,Identifying pesticide mixtures at country-wide scale,2024,Top5
Pppirec,,Common birds have higher abundances in croplands with lower pesticide purchases,2026,Top5
Pppirec,,Worldwide occurrence records suggest a global decline in bee species richness,2021,Proposal
Pppirec,,Scientists’ warning to humanity on insect extinctions,2020,Proposal
Pppirec,,How many flowering plants are pollinated by animals?,2011,Proposal
Pppirec,,Importance of pollinators in changing landscapes for world crops,2007,Proposal
Pppirec,,Large-scale trade-off between agricultural intensification and crop pollination services,2014,Proposal
Pppirec,,Neonicotinoid pesticides and nutritional stress synergistically reduce survival in honey bees,2017,Proposal
Pppirec,,Interactive effects of landscape-wide intensity of farming practices and landscape complexity on wild bee diversity,2017,Proposal
Pppirec,,"Combined nutritional stress and a new systemic pesticide (flupyradifurone, Sivanto®) reduce bee survival, food consumption, flight success, and thermoregulation",2019,Proposal
Pppirec,,The whereabouts of flower visitors: contrasting land-use preferences revealed by a country-wide survey based on citizen science,2012,Proposal
Pppirec,,More than 75 percent decline over 27 years in total flying insect biomass in protected areas,2017,Proposal
Pppirec,,Arthropod decline in grasslands and forests is associated with landscape-level drivers,2019,Proposal
Pppirec,,Functional homogenization of flower visitor communities with urbanization,2016,Proposal
Pppirec,,Fostering close encounters of the entomological kind,2018,Proposal
Pppirec,,Influence of taxonomic resolution on mutualistic network properties,2020,Proposal
Pppirec,,Domestic gardens as favorable pollinator habitats in impervious landscapes,2019,Proposal
Pppirec,,Le plan Ecophyto de réduction d’usage des pesticides en France : décryptage d’un échec et raisons d’espérer,2017,Proposal
Pppirec,,Overview of sales and purchases of crop protection products in France in 2020,2022,Proposal
Pppirec,,Landscape floral resources provided by rapeseed correlate with next-year reproduction of cavity-nesting pollinators in a national participatory monitoring program,2021,Proposal
Pppirec,10.1016/j.scitotenv.2020.136842,Assessing the emergence of pro-biodiversity practices in citizen scientists of a backyard butterfly survey,2020,Top5
Pppirec,10.1038/s41558-018-0255-1,Ecological winners and losers of extreme drought in California,2018,Top5
Pppirec,10.1890/130054,Large-scale trade-off between agricultural intensification and crop pollination services,2014,Top5
Pppirec,10.1371/journal.pone.0045822,The whereabouts of flower visitors: contrasting land-use preferences revealed by a country-wide survey based on citizen science,2012,Top5
Pppirec,,Assessing non-intended effects of farming practices on field margin vegetation with a functional approach,2018,Top5
Pppirec,,New indices for rapid assessment of pollination services based on crop yield data: France as a case study,2019,Top5
Pppirec,,Citizen science involving farmers as a means to document temporal trends in farmland biodiversity and relate them to agricultural practices,2020,Top5
Pppirec,,"European plants lagging behind climate change pay a climatic debt in the North, but are favored in the South",2021,Top5
Pppirec,,Landscape floral resources provided by rapeseed correlate with next-year reproduction of cavity-nesting pollinators in a national participatory monitoring program,2022,Top5
Pppirec,,Controversy over the decline of arthropods: a matter of temporal baseline?,2022,Top5
Rodexpo,10.1101/2022.08.02.502439 ,Serological surveillance for wild rodent infection with SARS-CoV-2 in Europe,2022,Top5
Rodexpo,10.1016/S0083-6729(07)00003-9,The vitamin K cycle. Vitam Horm,2008,Proposal
Rodexpo,10.1038/nature02254,Identification of the gene for vitamin K epoxide reductase,2004,Proposal
Rodexpo,10.1038/nature02214,Mutations in VKORC1 cause warfarin resistance and multiple coagulation factor deficiency type 2,2004,Proposal
Rodexpo,10.1534/genetics.104.040360,The genetic basis of resistance to anticoagulants in rodents,2005,Proposal
Rodexpo,10.1186/1471-2156-10-4,Novel mutations in the VKORC1 gene of wild rats and mice--a response to 50 years of selection pressure by warfarin?,2009,Proposal
Rodexpo,10.1016/j.abb.2011.08.010,Biochemical characterization of spontaneous mutants of rat VKORC1 involved in the resistance to antivitamin K anticoagulants,2011,Proposal
Rodexpo,10.1016/j.pestbp.2022.105052,Distribution of non-synonymous Vkorc1 mutations in roof rats (Rattus rattus) in France and in Spain - consequences for management,2022,Proposal
Rodexpo,10.1002/ece3.2829,Adaptative evolution of the Vkorc1 gene in Mus musculus domesticus is influenced by the selective pressure of anticoagulant rodenticides,2017,Proposal
Rodexpo,10.1146/annurev-nutr-080508-141217,Roles for vitamin K beyond coagulation,2009,Proposal
Rodexpo,10.1038/s41598-018-31788-6,Missense mutation of VKORC1 leads to medial arterial calcification in rats,2018,Proposal
Rodexpo,10.5772/intechopen.69955,Poisoning by Anticoagulant Rodenticides in Humans and Animals: Causes and Consequences,2017,Proposal
Rodexpo,10.1111/j.1365-2885.2008.00979.x,Pharmacokinetics of eight anticoagulant rodenticides in mice after single oral administration,2008,Proposal
Rodexpo,10.1016/s0269-7491(02)00297-x,"Spatial and temporal analysis of second-generation anticoagulant rodenticide residues in polecats (Mustela putorius) from throughout their range in Britain, 1992-1999",2003,Proposal
Rodexpo,10.1016/j.envpol.2009.07.017,"Accumulation of anticoagulant rodenticides in a non-target insectivore, the European hedgehog (Erinaceus europaeus)",2010,Proposal
Rodexpo,10.1007/s10661-013-3422-x,Exposure pathways of anticoagulant rodenticides to nontarget wildlife,2014,Proposal
Rodexpo,,Invertebrates feeding on baits used for vertebrate pest control in New Zealand,1999,Proposal
Rodexpo,10.1124/dmd.116.073791,Management of Rodent Populations by Anticoagulant Rodenticides: Toward Third-Generation Anticoagulant Rodenticides,2017,Proposal
Rodexpo,10.1371/journal.pone.0221706,The potential of VKORC1 polymorphisms in Mustelidae for evolving anticoagulant resistance through selection along the food chain,2019,Proposal
Rodexpo,10.1098/rspb.2017.2533,Urbanization and anticoagulant poisons promote immune dysfunction in bobcats,2018,Proposal
Rodexpo,10.1016/j.jchromb.2016.12.028,Core-shell LC-MS/MS method for quantification of second generation anticoagulant rodenticides diastereoisomers in rat liver in relationship with exposure of wild rats,2017,Proposal
Rodexpo,10.1016/j.chroma.2022.46320,Enantiomer fraction evaluation of the four stereoisomers of second-generation anticoagulant rodenticides in biological matrices with polysaccharide-based chiral selectors and liquid chromatography tandem mass spectrometry,2022,Proposal
