"","ori","abb"
"29","ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS","Arch. biochem. biophys."
"30","AUSTRAL ECOLOGY","Austral ecol."
"31","BASIC AND APPLIED ECOLOGY","Basic appl. ecol."
"32","BEHAVIORAL ECOLOGY","Behav. ecol."
"33","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","Behav. ecol. sociobiol."
"34","BIOACOUSTICS","Bioacoustics"
"35","BIODIVERSITY","Biodiversity"
"36","BIODIVERSITY AND CONSERVATION","Biodivers. conserv."
"37","BIODIVERSITY DATA JOURNAL","Biodivers. data j."
"38","BIOLOGICAL CONSERVATION","Biol. conserv."
"39","BIOLOGICAL CONTROL","Biol. control."
"40","BIOLOGICAL INVASIONS","Biol. invasions"
"41","BIOLOGICAL REVIEWS/BIOLOGICAL REVIEWS OF THE CAMBRIDGE PHILOSOPHICAL SOCIETY","Biol. rev. rev. Camb. philos. soc."
"42","BIOLOGY LETTERS","Biol. lett."
"43","BIORXIV (COLD SPRING HARBOR LABORATORY)","Biorxiv"
"44","BIOSCIENCE","Bioscience"
"45","BIOSEMIOTICS","Biosemiotics"
"46","BMC ECOLOGY AND EVOLUTION","Bmc ecol. evol."
"47","BMC GENETICS","Bmc genet."
"48","BONFRING INTERNATIONAL JOURNAL OF ADVANCES IN IMAGE PROCESSING","Bonfring int. j. adv. image process."
"49","BOTANY LETTERS","Bot. lett."
"50","BULLETIN OF THE ECOLOGICAL SOCIETY OF AMERICA","Bull. ecol. soc. am."
"51","CAHIERS AGRICULTURES","Cah. agric."
"52","CAMBRIDGE UNIVERSITY PRESS EBOOKS","Camb. univ. press ebooks"
"53","CANADIAN JOURNAL OF ZOOLOGY","Can. j. zool."
"54","CATENA","Catena"
"55","CELL","Cell"
"56","CHEMOSPHERE","Chemosphere"
"57","CHOICE REVIEWS ONLINE","Choice rev. online"
"58","CLIMATE DYNAMICS","Clim. dyn."
"59","CLIMATIC CHANGE","Clim. chang."
"60","COMMUNICATIONS EARTH & ENVIRONMENT","Commun. earth environ."
"61","COMPTES RENDUS GÉOSCIENCE","Comptes rendus geosci."
"62","CONSERVATION BIOLOGY","Conserv. biol."
"63","CONSERVATION GENETICS","Conserv. genet."
"64","CONSERVATION LETTERS","Conserv. lett."
"65","CONSERVATION PHYSIOLOGY","Conserv. physiol."
"66","CURRENT BIOLOGY","Curr. biol."
"67","CURRENT FORESTRY REPORTS","Curr. for. reports"
"68","CURRENT LANDSCAPE ECOLOGY REPORTS","Curr. landsc. ecol. reports"
"69","CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY","Curr. opin. environ. sustain."
"70","CURRENT OPINION IN INSECT SCIENCE","Curr. opin. insect sci."
"71","CYBERGEO","Cybergeo"
"72","DIALNET (UNIVERSIDAD DE LA RIOJA)","Dialnet"
"73","DISJUNTIVA CRÍTICA DE LES CIÈNCIES SOCIALS","Disjuntiva crit. ciències soc."
"74","DIVERSITY","Diversity"
"75","DIVERSITY AND DISTRIBUTIONS","Divers. distrib."
"76","DRUG METABOLISM AND DISPOSITION","Drug metab. dispos."
"77","ECOGRAPHY","Ecography"
"78","ECOLOGICAL APPLICATIONS","Ecol. appl."
"79","ECOLOGICAL ECONOMICS","Ecol. econ."
"80","ECOLOGICAL ENGINEERING","Ecol. eng."
"81","ECOLOGICAL ENTOMOLOGY","Ecol. entomol."
"82","ECOLOGICAL INDICATORS","Ecol. indic."
"83","ECOLOGICAL INFORMATICS","Ecol. informatics"
"84","ECOLOGICAL MODELLING","Ecol. model."
"85","ECOLOGICAL MONOGRAPHS","Ecol. monogr."
"86","ECOLOGICAL RESEARCH","Ecol. res."
"87","ECOLOGY","Ecology"
"88","ECOLOGY AND EVOLUTION","Ecol. evol."
"89","ECOLOGY LETTERS","Ecol. lett."
"90","ÉCONOMIE RURALE","Econ. rural."
"91","ECOSPHERE","Ecosphere"
"92","ECOSYSTEM SERVICES","Ecosyst. serv."
"93","ECOSYSTEMS AND PEOPLE","Ecosyst. people"
"94","ECOTOXICOLOGY","Ecotoxicology"
"95","ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY","Ecotoxicol. environ. saf."
"96","EDWARD ELGAR PUBLISHING EBOOKS","Edw. elgar publ. ebooks"
"97","ELSEVIER EBOOKS","Elsevier ebooks"
"98","ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY","Environ. dev. sustain."
"99","ENVIRONMENTAL CONSERVATION","Environ. conserv."
"100","ENVIRONMENTAL ECONOMICS","Environ. econ."
"101","ENVIRONMENTAL EVIDENCE","Environ. evid."
"102","ENVIRONMENTAL INNOVATION AND SOCIETAL TRANSITIONS","Environ. innov. soc. transitions"
"103","ENVIRONMENTAL MANAGEMENT","Environ. manag."
"104","ENVIRONMENTAL MODELLING & SOFTWARE","Environ. model. softw."
"105","ENVIRONMENTAL MONITORING AND ASSESSMENT","Environ. monit. assess."
"106","ENVIRONMENTAL POLLUTION","Environ. pollut."
"107","ENVIRONMENTAL RESEARCH","Environ. res."
"108","ENVIRONMENTAL RESEARCH LETTERS","Environ. res. lett."
"109","ENVIRONMENTAL SCIENCE & POLICY","Environ. sci. policy"
"110","ENVIRONMENTAL SCIENCE & TECHNOLOGY","Environ. sci. technol."
"111","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","Environ. sci. pollut. res."
"112","ETHOLOGY","Ethology"
"113","EUROPEAN JOURNAL OF AGRONOMY","Eur. j. agron."
"114","EUROPEAN JOURNAL OF FOREST RESEARCH","Eur. j. for. res."
"115","EUROPEAN JOURNAL OF SOIL BIOLOGY","Eur. j. soil biol."
"116","EUROPEAN JOURNAL OF SOIL SCIENCE","Eur. j. soil sci."
"117","EUROPEAN JOURNAL OF WILDLIFE RESEARCH","Eur. j. wildl. res."
"118","EUROPEAN LAW JOURNAL","Eur. law j."
"119","EVOLUTIONARY APPLICATIONS","Evol. appl."
"120","EXTRACTA MATHEMATICAE","Extr. math."
"121","FACULTY OPINIONS – POST-PUBLICATION PEER REVIEW OF THE BIOMEDICAL LITERATURE","Fac. opin. – post-publ. peer rev. biomed. lit."
"122","FAO EBOOKS","Fao ebooks"
"123","FIELD CROPS RESEARCH","Field crop. res."
"124","FOOD AND CHEMICAL TOXICOLOGY","Food chem. toxicol."
"125","FOOD AND WATERBORNE PARASITOLOGY","Food waterborne parasitol."
"126","FOREST ECOLOGY AND MANAGEMENT","For. ecol. manag."
"127","FRESHWATER BIOLOGY","Freshw. biol."
"128","FRONTIERS IN ECOLOGY AND EVOLUTION","Front. ecol. evol."
"129","FRONTIERS IN ECOLOGY AND THE ENVIRONMENT","Front. ecol. environ."
"130","FRONTIERS IN ENVIRONMENTAL SCIENCE","Front. environ. sci."
"131","FRONTIERS IN MARINE SCIENCE","Front. mar. sci."
"132","FRONTIERS IN PLANT SCIENCE","Front. plant sci."
"133","FRONTIERS IN VETERINARY SCIENCE","Front. vet. sci."
"134","FUNCTIONAL ECOLOGY","Funct. ecol."
"135","GENETICS","Genetics"
"136","GEODERMA","Geoderma"
"137","GEOSCIENTIFIC MODEL DEVELOPMENT","Geosci. model dev."
"138","GLOBAL CHANGE BIOLOGY","Glob. chang. biol."
"139","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Glob. ecol. biogeogr."
"140","GLOBAL ECOLOGY AND CONSERVATION","Glob. ecol. conserv."
"141","GLOBAL ENVIRONMENTAL CHANGE","Glob. environ. chang."
"142","GRASS AND FORAGE SCIENCE","Grass forage sci."
"143","HAL (LE CENTRE POUR LA COMMUNICATION SCIENTIFIQUE DIRECTE)","Hal"
"144","HART PUBLISHING EBOOKS","Hart publ. ebooks"
"145","HYDROBIOLOGIA","Hydrobiologia"
"146","IET SMART CITIES","Iet smart cities"
"147","INFECTION GENETICS AND EVOLUTION","Infect. genet. evol."
"148","INRAE PRODUCTIONS ANIMALES","Inrae prod. anim."
"149","INSECT CONSERVATION AND DIVERSITY","Insect conserv. divers."
"150","INSECTS","Insects"
"151","INTECH EBOOKS","Intech ebooks"
"152","INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT","Integr. environ. assess. manag."
"153","INTERNATIONAL AFFAIRS","Int. aff."
"154","INTERNATIONAL JOURNAL OF CLIMATOLOGY","Int. j. climatol."
"155","INTERNATIONAL REVIEW OF ENVIRONMENTAL AND RESOURCE ECONOMICS","Int. rev. environ. resour. econ."
"156","ISCIENCE","Iscience"
"157","JOURNAL FOR NATURE CONSERVATION","J. nat. conserv."
"158","JOURNAL OF ANIMAL ECOLOGY","J. anim. ecol."
"159","JOURNAL OF APPLIED ECOLOGY","J. appl. ecol."
"160","JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION","J. artif. soc. soc. simul."
"161","JOURNAL OF AVIAN BIOLOGY","J. avian biol."
"162","JOURNAL OF BIOGEOGRAPHY","J. biogeogr."
"163","JOURNAL OF CHROMATOGRAPHY A","J. chromatogr."
"164","JOURNAL OF CHROMATOGRAPHY B","J. chromatogr. b"
"165","JOURNAL OF ECOACOUSTICS","J. ecoacoustics"
"166","JOURNAL OF ECOLOGY","J. ecol."
"167","JOURNAL OF ECONOMIC SURVEYS","J. econ. surv."
"168","JOURNAL OF ENVIRONMENTAL MANAGEMENT","J. environ. manag."
"169","JOURNAL OF GEOGRAPHICAL SYSTEMS","J. geogr. syst."
"170","JOURNAL OF HYDROLOGY","J. hydrol."
"171","JOURNAL OF INSECT CONSERVATION","J. insect conserv."
"172","JOURNAL OF MAMMALOGY","J. mammal."
"173","JOURNAL OF MULTIVARIATE ANALYSIS","J. multivar. anal."
"174","JOURNAL OF MUSLIMS IN EUROPE","J. muslims eur."
"175","JOURNAL OF OPEN RESEARCH SOFTWARE","J. open res. softw."
"176","JOURNAL OF POLITICAL ECOLOGY","J. political ecol."
"177","JOURNAL OF REGIONAL SCIENCE","J. reg. sci."
"178","JOURNAL OF RURAL STUDIES","J. rural. stud."
"179","JOURNAL OF SEA RESEARCH","J. sea res."
"180","JOURNAL OF SOIL AND WATER CONSERVATION","J. soil water conserv."
"181","JOURNAL OF STATISTICAL SOFTWARE","J. stat. softw."
"182","JOURNAL OF SYSTEMATICS AND EVOLUTION","J. syst. evol."
"183","JOURNAL OF TROPICAL ECOLOGY","J. trop. ecol."
"184","JOURNAL OF VEGETATION SCIENCE","J. veg. sci."
"185","JOURNAL OF VETERINARY PHARMACOLOGY AND THERAPEUTICS","J. vet. pharmacol. ther."
"186","JOURNAL OF WILDLIFE MANAGEMENT","J. wildl. manag."
"187","JOURNAL OF ZOOLOGY","J. zool."
"188","JULIACON PROCEEDINGS","Juliacon proc."
"189","L ECONOMIE POLITIQUE","L econ. polit."
"190","LAND","Land"
"191","LAND DEGRADATION AND DEVELOPMENT","Land degrad. dev."
"192","LAND USE POLICY","Land use policy"
"193","LANDSCAPE AND URBAN PLANNING","Landsc. urban plan."
"194","LANDSCAPE ECOLOGY","Landsc. ecol."
"195","LECTURE NOTES IN GEOINFORMATION AND CARTOGRAPHY","Lect. notes geoinf. cartogr."
"196","LIVING REVIEWS IN LANDSCAPE RESEARCH","Living rev. landsc. res."
"197","MAMMAL REVIEW","Mammal rev."
"198","MARINE ECOLOGY PROGRESS SERIES","Mar. ecol. prog. ser."
"199","MATHEMATICS","Mathematics"
"200","METHODS IN ECOLOGY AND EVOLUTION","Methods ecol. evol."
"201","METHODS IN MOLECULAR BIOLOGY","Methods mol. biol."
"202","MICROBIAL BIOTECHNOLOGY","Microb. biotechnol."
"203","MITIGATION AND ADAPTATION STRATEGIES FOR GLOBAL CHANGE","Mitig. adapt. strateg. glob. chang."
"204","MOLECULAR BIOLOGY AND EVOLUTION","Mol. biol. evol."
"205","MOLECULAR ECOLOGY","Mol. ecol."
"206","MOUNTAIN RESEARCH AND DEVELOPMENT","Mt. res. dev."
"207","NATURAE","Naturae"
"208","NATURE","Nature"
"209","NATURE AFRICA","Nat. Afr."
"210","NATURE CLIMATE CHANGE","Nat. clim. chang."
"211","NATURE COMMUNICATIONS","Nat. commun."
"212","NATURE ECOLOGY & EVOLUTION","Nat. ecol. evol."
"213","NATURE ENERGY","Nat. energy"
"214","NATURE FOOD","Nat. food"
"215","NATURE PLANTS","Nat. plants"
"216","NATURE REVIEWS EARTH & ENVIRONMENT","Nat. rev. earth environ."
"217","NATURE SUSTAINABILITY","Nat. sustain."
"218","NATURE-BASED SOLUTIONS","Nat.-based solut."
"219","NATURES SCIENCES SOCIÉTÉS","Natures sci. soc."
"220","NEOBIOTA","Neobiota"
"221","NEW PHYTOLOGIST","New phytol."
"222","NORDIC JOURNAL OF BOTANY","Nord. j. bot."
"223","NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ-NAPOCA","Not. bot. horti agrobot. cluj-napoca"
"224","OECOLOGIA","Oecologia"
"225","OENO ONE","Oeno one"
"226","OIKOS","Oikos"
"227","ONE EARTH","One earth"
"228","ORNIS SVECICA","Ornis Svec."
"229","ORNITHOLOGICAL APPLICATIONS","Ornithol. appl."
"230","OSTI OAI (U.S. DEPARTMENT OF ENERGY OFFICE OF SCIENTIFIC AND TECHNICAL INFORMATION)","Osti oai"
"231","PAPERS OF THE REGIONAL SCIENCE ASSOCIATION","Pap. reg. sci. assoc."
"232","PARASITE","Parasite"
"233","PARASITES & VECTORS","Parasites vectors"
"234","PEDOBIOLOGIA","Pedobiologia"
"235","PEDOSPHERE","Pedosphere"
"236","PEER COMMUNITY JOURNAL","Peer community j."
"237","PEOPLE AND NATURE","People nat."
"238","PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS","Perspect. plant ecol. evol. syst."
"239","PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY","Pestic. biochem. physiol."
"240","PETER LANG B EBOOKS","Peter lang b ebooks"
"241","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES","Philos. trans. r. soc. math. phys. eng. sci."
"242","PHYTOPATHOLOGY","Phytopathology"
"243","PLANT AND SOIL","Plant soil"
"244","PLANTS","Plants"
"245","PLOS BIOLOGY","Plos biol."
"246","PLOS GENETICS","Plos genet."
"247","PLOS ONE","Plos one"
"248","POLITIQUES ET MANAGEMENT PUBLIC","Polit. manag. public"
"249","PROCEEDINGS OF THE 5TH EUROPEAN CONGRESS OF CONSERVATION BIOLOGY","Proc. 5th eur. congr. conserv. biol."
"250","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES","Proc. natl. acad. sci."
"251","PROCEEDINGS OF THE ROYAL SOCIETY B BIOLOGICAL SCIENCES","Proc. r. soc. b biol. sci."
"252","PUBMED","Pubmed"
"253","REGIONAL ENVIRONMENTAL CHANGE","Reg. environ. chang."
"254","REGIONAL SCIENCE AND URBAN ECONOMICS","Reg. sci. urban econ."
"255","REMOTE SENSING","Remote. sens."
"256","REMOTE SENSING IN ECOLOGY AND CONSERVATION","Remote. sens. ecol. conserv."
"257","REVIEW OF ENVIRONMENTAL ECONOMICS AND POLICY","Rev. environ. econ. policy"
"258","REVUE DE GÉOGRAPHIE ALPINE","Rev. geogr. alp."
"259","REVUE FORESTIÈRE FRANÇAISE","Rev. for. fr."
"260","REVUE FRANÇAISE DE PHOTOGRAMMÉTRIE ET DE TÉLÉDÉTECTION","Rev. fr. photogramm. télédétect."
"261","RISK ANALYSIS","Risk anal."
"262","ROYAL SOCIETY OPEN SCIENCE","R. soc. open sci."
"263","SCANDINAVIAN JOURNAL OF FOREST RESEARCH","Scand. j. for. res."
"264","SCIENCE","Science"
"265","SCIENCE ADVANCES","Sci. adv."
"266","SCIENCE NEWS","Sci. news"
"267","SCIENCES EAUX & TERRITOIRES","Sci. eaux territ."
"268","SCIENTIFIC DATA","Sci. data"
"269","SCIENTIFIC REPORTS","Sci. reports"
"270","SENEZ: ITZULPEN ALDIZKARIA","Senez: itzulpen aldizkaria"
"271","SOIL","Soil"
"272","SOIL AND TILLAGE RESEARCH","Soil tillage res."
"273","SOIL BIOLOGY AND BIOCHEMISTRY","Soil biol. biochem."
"274","SUSTAINABILITY","Sustainability"
"275","SUSTAINABILITY SCIENCE","Sustain. sci."
"276","SUSTAINABLE DEVELOPMENT","Sustain. dev."
"277","THE AMERICAN NATURALIST","am. nat."
"278","THE ANTHROPOCENE REVIEW","anthr. rev."
"279","THE AUK","auk"
"280","THE COLEOPTERISTS BULLETIN","coleopt. bull."
"281","THE EXTRACTIVE INDUSTRIES AND SOCIETY","extr. ind. soc."
"282","THE QUARTERLY REVIEW OF BIOLOGY","q. rev. biol."
"283","THE SCIENCE OF THE TOTAL ENVIRONMENT","sci. total. environ."
"284","THE URBAN BOOK SERIES","the Urban book ser."
"285","THEORETICAL AND APPLIED CLIMATOLOGY","Theor. appl. climatol."
"286","TRANSPORTATION RESEARCH BOARD 87TH ANNUAL MEETINGTRANSPORTATION RESEARCH BOARD","Transp. res. board 87th annu. meet. res. board"
"287","TRENDS IN ECOLOGY & EVOLUTION","Trends ecol. evol."
"288","TRENDS IN GENETICS","Trends genet."
"289","TRENDS IN PLANT SCIENCE","Trends plant sci."
"290","URBAN ECOSYSTEMS","Urban ecosyst."
"291","URBAN FORESTRY & URBAN GREENING","Urban for. urban green."
"292","URBAN SCIENCE","Urban sci."
"293","VETERINARY RECORD","Vet. rec."
"294","VIA TOURISM REVIEW","Via tour. rev."
"295","VITAMINS AND HORMONES","Vitam. horm."
"296","WATER","Water"
"297","WATER RESOURCES AND ECONOMICS","Water resour. econ."
"298","WEED RESEARCH","Weed res."
"299","WEED SCIENCE","Weed sci."
"300","WETLANDS ECOLOGY AND MANAGEMENT","Wetl. ecol. manag."
"301","WILDLIFE BIOLOGY","Wildl. biol."
"302","WILDLIFE RESEARCH","Wildl. res."
"303","WILEY INTERDISCIPLINARY REVIEWS WATER","Wiley interdiscip. rev. water"
"304","WORLD DEVELOPMENT","World dev."
"305","日本産科婦人科學會雜誌","日本産科婦人科學會雜誌"
